"Date","PCEC"
"1990-03-31","3737.9479999999999"
"1990-07-01","3783.4209999999998"
"1990-10-01","3846.6999999999998"
"1990-12-31","3867.9090000000001"
"1991-03-31","3873.5619999999999"
"1991-07-01","3926.9319999999998"
"1991-10-01","3973.2689999999998"
"1991-12-31","4000.0320000000002"
"1992-03-31","4100.4009999999998"
"1992-07-01","4155.6599999999999"
"1992-10-01","4226.9709999999995"
"1992-12-31","4307.2049999999999"
"1993-03-31","4349.5150000000003"
"1993-07-01","4418.5810000000001"
"1993-10-01","4487.1890000000003"
"1993-12-31","4552.6509999999998"
"1994-03-31","4621.223"
"1994-07-01","4683.1629999999996"
"1994-10-01","4752.7610000000004"
"1994-12-31","4826.7129999999997"
"1995-03-31","4862.4359999999997"
"1995-07-01","4933.6090000000004"
"1995-10-01","4998.6620000000003"
"1995-12-31","5055.6549999999997"
"1996-03-31","5130.6149999999998"
"1996-07-01","5220.4989999999998"
"1996-10-01","5274.5050000000001"
"1996-12-31","5352.7629999999999"
"1997-03-31","5433.1049999999996"
"1997-07-01","5471.2669999999998"
"1997-10-01","5579.1790000000001"
"1997-12-31","5663.6099999999997"
"1998-03-31","5721.3419999999996"
"1998-07-01","5832.5659999999998"
"1998-10-01","5926.8459999999995"
"1998-12-31","6028.2380000000003"
"1999-03-31","6102.04"
"1999-07-01","6230.6409999999996"
"1999-10-01","6335.3100000000004"
"1999-12-31","6467.0389999999998"
"2000-03-31","6618.2169999999996"
"2000-07-01","6711.9110000000001"
"2000-10-01","6819.9840000000004"
"2000-12-31","6918.6059999999998"
"2001-03-31","6995.2979999999998"
"2001-07-01","7042.25"
"2001-10-01","7070.3370000000004"
"2001-12-31","7187.3199999999997"
"2002-03-31","7217.7150000000001"
"2002-07-01","7307.9549999999999"
"2002-10-01","7397.1350000000002"
"2002-12-31","7472.9579999999996"
"2003-03-31","7567.1599999999999"
"2003-07-01","7661.4579999999996"
"2003-10-01","7820.9269999999997"
"2003-12-31","7913.4530000000004"
"2004-03-31","8048.777"
"2004-07-01","8147.1080000000002"
"2004-10-01","8283.3349999999991"
"2004-12-31","8448.6209999999992"
"2005-03-31","8551.7350000000006"
"2005-07-01","8701.1450000000004"
"2005-10-01","8868.0889999999999"
"2005-12-31","8955.2950000000001"
"2006-03-31","9100.1530000000002"
"2006-07-01","9227.6489999999994"
"2006-10-01","9353.7720000000008"
"2006-12-31","9427.3680000000004"
"2007-03-31","9572.1380000000008"
"2007-07-01","9678.7129999999997"
"2007-10-01","9798.3829999999998"
"2007-12-31","9937.1399999999994"
"2008-03-31","10004.445"
"2008-07-01","10129.869000000001"
"2008-10-01","10159.078"
"2008-12-31","9906.9419999999991"
"2009-03-31","9814.9689999999991"
"2009-07-01","9805.5020000000004"
"2009-10-01","9939.4060000000009"
"2009-12-31","10004.995999999999"
"2010-03-31","10101.822"
"2010-07-01","10208.145"
"2010-10-01","10300.754000000001"
"2010-12-31","10430.304"
"2011-03-31","10558.195"
"2011-07-01","10673.018"
"2011-10-01","10755.029"
"2011-12-31","10809.186"
"2012-03-31","10959.300999999999"
"2012-07-01","11005.055"
"2012-10-01","11059.393"
"2012-12-31","11165.703"
"2013-03-31","11277.664000000001"
"2013-07-01","11315.681"
"2013-10-01","11408.359"
"2013-12-31","11551.228999999999"
"2014-03-31","11646.001"
"2014-07-01","11810.450999999999"
"2014-10-01","11959.790000000001"
"2014-12-31","12081.561"
"2015-03-31","12119.763000000001"
"2015-07-01","12264.139999999999"
"2015-10-01","12382.494000000001"
"2015-12-31","12423.352999999999"
"2016-03-31","12523.156000000001"
"2016-07-01","12665.124"
"2016-10-01","12797.126"
"2016-12-31","12921.989"
"2017-03-31","13097.306"
"2017-07-01","13188.73"
"2017-10-01","13325.065000000001"
"2017-12-31","13551.401"
"2018-03-31","13745.074000000001"
"2018-07-01","13891.294"
"2018-10-01","14002.199000000001"
"2018-12-31","14099.199000000001"
"2019-03-31","14150.191000000001"
"2019-07-01","14350.662"
"2019-10-01","14548.281999999999"
"2019-12-31","14701.038"
"2020-03-31","14496.227000000001"
"2020-07-01","13175.637000000001"
"2020-10-01","14478.032999999999"
"2020-12-31","14752.732"
"2021-03-31","15259.427"
"2021-07-01","16016.346"
"2021-10-01","16363.876"
"2021-12-31","16816.132000000001"
"2022-03-31","17175.105"
"2022-07-01","17603.753000000001"
"2022-10-01","17876.234"
"2022-12-31","18108.27"
"2023-03-31","18506.210999999999"
"2023-07-01","18685.723999999998"
"2023-10-01","18928.987000000001"
"2023-12-31","19170.153999999999"
"2024-03-31","19424.775000000001"
"2024-07-01","19682.699000000001"
