"Date","DPI"
"1989-10-01","4071.7379999999998"
"1989-12-31","4139.1490000000003"
"1990-03-31","4232.8990000000003"
"1990-07-01","4302.9059999999999"
"1990-10-01","4358.183"
"1990-12-31","4380.5379999999996"
"1991-03-31","4416.9989999999998"
"1991-07-01","4474.4070000000002"
"1991-10-01","4522.0720000000001"
"1991-12-31","4590.5649999999996"
"1992-03-31","4708.3959999999997"
"1992-07-01","4784.1229999999996"
"1992-10-01","4835.4610000000002"
"1992-12-31","4890.79"
"1993-03-31","4938.7020000000002"
"1993-07-01","4987.3770000000004"
"1993-10-01","5013.2089999999998"
"1993-12-31","5077.1540000000005"
"1994-03-31","5128.4780000000001"
"1994-07-01","5208.5410000000002"
"1994-10-01","5276.8370000000004"
"1994-12-31","5377.5299999999997"
"1995-03-31","5449.491"
"1995-07-01","5496.3879999999999"
"1995-10-01","5568.8220000000001"
"1995-12-31","5625.1059999999998"
"1996-03-31","5708.9759999999997"
"1996-07-01","5799.0690000000004"
"1996-10-01","5869.2860000000001"
"1996-12-31","5939.1329999999998"
"1997-03-31","6020.067"
"1997-07-01","6087.0659999999998"
"1997-10-01","6175.3010000000004"
"1997-12-31","6286.1880000000001"
"1998-03-31","6420.3389999999999"
"1998-07-01","6522.0519999999997"
"1998-10-01","6607.1999999999998"
"1998-12-31","6674.1559999999999"
"1999-03-31","6758.6989999999996"
"1999-07-01","6801.6459999999997"
"1999-10-01","6887.3879999999999"
"1999-12-31","7019.0039999999999"
"2000-03-31","7199.6180000000004"
"2000-07-01","7319.5609999999997"
"2000-10-01","7464.0259999999998"
"2000-12-31","7556.6639999999998"
"2001-03-31","7673.4769999999999"
"2001-07-01","7703.5020000000004"
"2001-10-01","7883.4949999999999"
"2001-12-31","7755.8999999999996"
"2002-03-31","7957.5690000000004"
"2002-07-01","8080.9189999999999"
"2002-10-01","8132.5479999999998"
"2002-12-31","8220.4580000000005"
"2003-03-31","8285.3629999999994"
"2003-07-01","8387.902"
"2003-10-01","8586.9850000000006"
"2003-12-31","8652.6110000000008"
"2004-03-31","8758.7649999999994"
"2004-07-01","8907.9779999999992"
"2004-10-01","9009.5010000000002"
"2004-12-31","9192.2739999999994"
"2005-03-31","9120.2860000000001"
"2005-07-01","9261.7990000000009"
"2005-10-01","9396.375"
"2005-12-31","9556.1350000000002"
"2006-03-31","9783.8580000000002"
"2006-07-01","9906.5460000000003"
"2006-10-01","9992.3320000000003"
"2006-12-31","10097.401"
"2007-03-31","10267.697"
"2007-07-01","10406.081"
"2007-10-01","10482.565000000001"
"2007-12-31","10602.17"
"2008-03-31","10733.994000000001"
"2008-07-01","11061.837"
"2008-10-01","10964.447"
"2008-12-31","10912.439"
"2009-03-31","10830.42"
"2009-07-01","10946.227000000001"
"2009-10-01","10888.262000000001"
"2009-12-31","10988.307000000001"
"2010-03-31","11096.944"
"2010-07-01","11298.797"
"2010-10-01","11381.992"
"2010-12-31","11498.297"
"2011-03-31","11711.593000000001"
"2011-07-01","11803.352000000001"
"2011-10-01","11921.125"
"2011-12-31","11987.448"
"2012-03-31","12252.058000000001"
"2012-07-01","12364.177"
"2012-10-01","12301.843999999999"
"2012-12-31","12715.043"
"2013-03-31","12254.043"
"2013-07-01","12353.217000000001"
"2013-10-01","12447.306"
"2013-12-31","12510.375"
"2014-03-31","12714.402"
"2014-07-01","12931.862999999999"
"2014-10-01","13089.117"
"2014-12-31","13258.191999999999"
"2015-03-31","13380.512000000001"
"2015-07-01","13487.843000000001"
"2015-10-01","13598.262000000001"
"2015-12-31","13664.797"
"2016-03-31","13782.355"
"2016-07-01","13841.829"
"2016-10-01","13968.109"
"2016-12-31","14123.299999999999"
"2017-03-31","14353.057000000001"
"2017-07-01","14538.77"
"2017-10-01","14692.112999999999"
"2017-12-31","14871.77"
"2018-03-31","15133.059999999999"
"2018-07-01","15349.066999999999"
"2018-10-01","15563.066000000001"
"2018-12-31","15770.966"
"2019-03-31","15997.305"
"2019-07-01","16074.939"
"2019-10-01","16222.056"
"2019-12-31","16363.691000000001"
"2020-03-31","16521.436000000002"
"2020-07-01","18086.868999999999"
"2020-10-01","17586.023000000001"
"2020-12-31","17304.892"
"2021-03-31","19607.746999999999"
"2021-07-01","18359.153999999999"
"2021-10-01","18398.832999999999"
"2021-12-31","18491.863000000001"
"2022-03-31","18303.323"
"2022-07-01","18555.593000000001"
"2022-10-01","19074.878000000001"
"2022-12-31","19442.254000000001"
"2023-03-31","20146.973000000002"
"2023-07-01","20460.370999999999"
"2023-10-01","20666.369999999999"
"2023-12-31","20913.483"
"2024-03-31","21378.574000000001"
"2024-07-01","21638.938999999998"
